"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
289;"chiliad";"kill-iad";"a group of 1000; millenium";"n"
290;"chimera";"ki-mare-uh";"fire-breathing she-monster having a lion's head, a goat's body, and a serpent's tail; an imaginary monster compounded of incongruous parts";"n"
291;"chivalrous";"shiv-ul-russ";"valiant; marked by honor, generosity, and courtesy; marked by gracious courtesy and high-minded consideration especially to women";"adj"
292;"chivalry";"shiv-ul-ree";"mounted men-at-arms; gallant, valiant, or distinguished gentlemen; the system, spirit, or customs of medieval knighthood";"n"
293;"chivy";"chih-vee";"to tease or annoy with persistent petty attacks; to move or obtain by small maneuvers";"v"
294;"chlorella";"kluh-rella";"any of a genus of a unicellular green algae";"n"
295;"chockablock";"chah-kuh-block";"brought close together; very full";"adj"
296;"chthonic";"thah-nik";"of or relating to the underworld; infernal";"adj"
297;"churlish";"chur-lish";"marked by a lack of civility or graciousness; difficult to work with or deal with";"adj"
298;"circumlocution";"sir-cum-low-kyoo-shun";"the use of an unnecessarily large number of words to express an idea; evasion in speech";"n"
299;"clandestine";"klan-des-tin";"marked by, held in, or conducted with secrecy";"adj"
300;"clement";"KLE-ment";"inclined to be merciful, lenient; mild";"adj"
301;"clerestory";"clear-story";"the upper part of a wall that rises above a roof and that has windows";"n"
302;"clergy";"klur-gee";"a group ordained to perform pastoral or sacerdotal part_of_speechs in a Christian church; the official or sacerdotal class of a non-Christian religion";""
303;"clerical";"clair-ih-kul";"of or relating to a clerk or office worker; of or relating to members of the clergy";"adj"
304;"clew";"kloo";"a ball of thread, yarn, or cord; something that guides through an intricate procedure or maze of difficulties; clue";"n"
305;"cloister";"cloy-stir";"a monastic establishment; a place or state of seclusion; a covered passage on the side of a court usually having one side walled and the other an open arcade or colonnade";"n"
306;"cloister";"cloy-stir";"to seclude from the world; to surround with a cloister";"v"
307;"cloture";"kloh-chur";"the closing or limitation of debate in a legislative body especially by calling for a vote";"n"
308;"coagulate";"ko-ag-yoo-late";"to cause to become viscous or thickened into a coherent mass, clot; to gather together or form into a mass or group";"v"
309;"coalesce";"ko-uh-less";"to grow together; to unite into a whole; to arise from the combination of distinct elements";"v"
310;"coda";"ko-duh";"conclusion; something that serves to round out, conclude, or summarize and usually has its own interest";"n"
311;"coeval";"koh-ee-vul";"of the same or equal age, antiquity, or duration";"adj"
312;"coextensive";"ko-ek-sten-siv";"having the same spatial or temporal scope or boundaries";"adj"
313;"cogent";"ko-jent";"appealing forcibly to the mind or reason, convincing; having power to compel or constrain";"adj"
314;"cogitate";"kah-jih-tate";"to ponder or meditate on, usually intently";"v"
315;"cohere";"ko-heer";"to hold together firmly as parts of the same mass; to hold together as a mass of parts that cohere; to become united in principles, relationships, or interests";"v"
316;"cohort";"ko-hort";"companion, colleague; band, group; a group of warriors or soldiers; a group of individuals having a statistical factor in common in a demographic study";"n"
317;"colic";"kah-lik";"an attack of acute abdominal pain localized in a hollow organ and often caused by spasm, obstruction, or twisting; a condition marked by recurrent episodes of prolonged and uncontrollable crying and irritability in an otherwise healthy infant that is of unknown cause and usually subsides after three to four months of age";"n"
318;"collate";"kuh-late";"to compare critically; to collect, compare carefully in order to verify, and often to integrate or arrange in order; to assemble in proper order";"v"
319;"colloquial";"kuh-low-quee-ole";"used in or characteristic of familiar and informal conversation; using conversational style; of or relating to conversation, conversational";"adj"
320;"colloquium";"kuh-lo-kwee-um";"a usually academic meeting at which specialists deliver addresses on a topic or on related topics and then answer questions relating to them";"n"
321;"comity";"comedy";"a friendly social atmosphere, social harmony; a loose widespread community based on common social institutions";"n"
322;"commensurate";"kuh-men-sir-it";"corresponding in size, extent, amount, or degree, proportionate; equal in measure or extent";"adj"
323;"commiserate";"kuh-miz-er-ate";"to feel or express sympathy, condole; to feel or express sorrow or compassion for";"v"
324;"compendious";"kum-pen-dee-us";"marked by brief expression of a comprehensive matter, concise and comprehensive";"adj"
325;"compulsion";"kum-pul-shun";"an irresistible persistent impulse to perform an act";"n"
326;"compunction";"kum-punk-shun";"anxiety arising from awareness of guilt; distress of mind over an anticipated action or result; a twinge of misgiving";"n"
327;"conceited";"kun-seated";"ingeniously contrived, fanciful; having or showing an excessively high opinion of oneself";"adj"
328;"concierge";"cohn-see-erje";"a person in an apartment building or hotel who takes care of the building and checks the people who enter and leave";"n"
329;"conciliate";"kun-sil-e-ate";"appease; to gain goodwill by pleasing acts; to make compatible, reconcile; to become friendly or agreeable";"v"
330;"condole";"kun-dole";"to express sympathetic sorrow";"v"
331;"confrere";"kahn-frair";"colleague; comrade";"n"
332;"congenial";"kun-jeen-e-ul";"agreeably suited to one's nature, tastes, or outlook, pleasant; sociable, genial; existing or associated together harmoniously; having the same nature, disposition, or tastes, kindred";"adj"
333;"congenital";"kun-jen-ih-tul";"existing at or dating from birth; constituting an essential characteristic, inherent; being such by nature";"adj"
334;"conjecture";"kun-jek-chur";"inference formed without proof or sufficient evidence; a conclusion deduced by surmise or guesswork";"n"
335;"conjugal";"con-jih-gul";"of or relating to the married state or to married persons and their relations";"adj"
336;"conniption";"kuh-nip-shun";"a fit of rage, hysteria, or alarm";"n"
337;"connive";"kuh-nive";"to pretend ignorance of or fail to take action against something one ought to oppose; to cooperate secretly or have a secret understanding; conspire, intrigue";"v"
338;"connubial";"kuh-noob-ial";"of or relating to the married state";"adj"
339;"conspicuous";"kun-spik-yoo-us";"obvious to the eye or mind; attracting attention, striking; marked by a noticeable violation of good taste";"adj"
340;"constitution";"con-stih-too-shun";"the physical makeup of the individual especially with respect to the health, strength, and appearance of the body";"n"
341;"construe";"kun-stroo";"to understand or explain the sense or intention of usually in a particular way or with respect to a given set of circumstances";"v"
342;"contiguous";"kun-tig-yoo-us";"being in actual contact; touching along a boundary or at a point; next or near in time or sequence; touching or connected throughout in an unbroken sequence";"adj"
343;"contingent";"kun-tin-jent";"dependent on or conditioned by something else; likely but not certain to happen, possible; not logically necessary; happening by chance or unforeseen causes; not necessitated, determined by free choice";"adj"
344;"contrail";"con-trail";"streaks of condensed water vapor created in the air by an airplane or rocket at high altitudes";"n"
345;"contravene";"con-truh-veen";"to go or act contrary to, violate; to oppose in argument, contradict";"v"
346;"contrite";"kun-trite";"feeling or showing sorrow and remorse for a sin or shortcoming";"adj"
347;"contumacy";"kun-TOO-muh-see";"stubborn resistance to authority; willful contempt of court";"n"
348;"contusion";"kun-too-zhin";"injury to tissue usually without laceration, bruise";"n"
349;"conurbation";"kah-nurbation";"an aggregation or continuous network of urban communities";"n"
350;"convalesce";"con-vuh-less";"to recover health and strength gradually after sickness or weakness";"v"
351;"conversant";"kun-ver-sint";"having knowledge or experience";"adj"
352;"convivial";"kun-viv-e-ul";"relating to, occupied with, or fond of feasting, drinking, and good company";"adj"
353;"copacetic";"ko-puh-set-ik";"very satisfactory";"adj"
354;"copula";"kah-pyuh-luh";"something that connects; the connecting link between subject and predicate of a proposition";"n"
355;"coquette";"ko-ket";"a woman who endeavors without sincere affection to gain the attention and admiration of men";"n"
356;"cordelle";"kor-dell";"a heavy rope formerly used for towing boats on rivers in Canada and the US";"n"
357;"cordial";"core-jul";"showing or marked by warm and often hearty friendliness, favor, or approval; sincerely or deeply felt; tending to revive, cheer, or invigorate";"adj"
358;"cordon";"cor-dun";"a line of persons or objects around a person or place";"n"
359;"cornucopia";"";"an inexhaustible store, abundance; a receptacle shaped like a horn or cone";""
360;"corrigible";"kor-ij-uh-bul";"capable of being set right, reparable";"adj"
361;"corrugated";"kor-ih-gated";"having a wavy surface";"adj"
362;"coruscate";"core-uh-skate";"to give off or reflect light in bright beams or flashes, sparkle; to be brilliant or showy in technique or style";"v"
363;"cotillion";"co-till-yun";"a formal ball; an elaborate dance with frequent changing of partners carried out under the leadership of one couple at formal balls";"n"
364;"cotton";"kah-tin";"to take a liking (used with 'to'); to come to understand (used with 'to' or 'on to')";"v"
365;"coupe poudre";"coo-poo-der";"a powder used to induce zombification";"n"
366;"covetous";"kuh-vih-tus";"marked by inordinate desire for wealth or possessions or for another's possessions; having a craving for possession";"adj"
367;"coxcomb";"cox-comb";"a jester's cap adorned with a strip of red; fool; a conceited foolish person";"n"
368;"coy";"koy";"marked by cute, coquettish, or artful playfulness; shrinking from contact or familiarity; showing reluctance to make a definite commitment";"adj"
369;"crapulous";"crah-pyoo-lus";"marked by intemperance especially in eating or drinking; sick from excessive indulgence in liquor";"adj"
370;"credenza";"krih-den-zuh";"a sideboard, buffet, or bookcase used chiefly for valuable plate";"n"
371;"creedless";"creed-less";"without any fundamental beliefs; not recognizing any authoritative formulas esp. of religious belief";"adj"
372;"crepuscular";"kruh-pus-kyoo-ler";"of, relating to, or resembling twilight; occurring or active during twilight";"adj"
373;"cresccendo";"kreh-shen-doe";"a gradual increase; the peak of a gradual increase, climax";"n"
374;"croesus";"kree-sus";"a very rich man";"n"
375;"crucible";"kroo-sih-bul";"a severe test; a place or situation in which concentrated forces interact to cause or influence change or development";"n"
376;"cud";"kud";"food brought up into the mouth by a ruminating animal from its rumen (first stomach) to be chewed again";"n"
377;"cul-de-sac";"cull-duh-sak";"a street or passage closed at one end";"n"
378;"culminate";"kul-mih-nate";"to reach the highest or a climactic or decisive point";"v"
379;"culpable";"kul-puh-bul";"guilty, criminal; meriting condemnation or blame especially as wrong or harmful";"adj"
